category,subcategory,type,name,popupContent,coordinates,icon,color
well,private,Point,well,clean water,107'03.4768 13'44.9422,home,red
well,private,Point,well,clean water,107'03.4752 13'44.9656,home,red
well,private,Point,well,clean water,107'03.4681 13'45.0769,home,red
well,private,Point,well,clean water,107'03.4890 13'45.0078,home,red
well,private,Point,well,clean water,107'03.4854 13'45.0673,home,red
well,private,Point,well,clean water,107'03.5193 13'45.1237,home,red
well,public,Point,well,clean water,107'03.3986 13'44.9644,home,red
well,public,Point,well,clean water,107'03.4222 13'44.9671,home,red
well,public,Point,well,clean water,107'03.4540 13'44.9397,home,red
well,public,Point,well,clean water,107'03.4452 13'45.0227,home,red
well,public,Point,well,clean water,107'03.4534 13'44.9776,home,red
well,public,Point,well,clean water,107'03.5072 13'45.1041,home,red
well,public,Point,well,clean water,107'03.4943 13'45.1306,home,red
well,public,Point,well,clean water,107'03.4984 13'45.0711,home,red
well,public,Point,well,clean water,107'03.4699 13'45.0617,home,red
well,public,Point,well,clean water,107'03.4639 13'45.0553,home,red
well,public,Point,well,clean water,107'03.4655 13'44.9819,home,red
worship,,Point,worship,buffalo sacrificed,107'03.4326 13'44.9532,home,red
worship,,Point,worship,buffalo sacrificed,107'03.4233 13'44.9906,home,red
worship,,Point,worship,buffalo sacrificed,107'03.4102 13'44.9850,home,red
homestay,,Point,Home stay , My home stay,107.0396213 13.8950018,home,red
worship,,Point, Tycoon land, Tycoon land,107.107649 13.9246375,home,red
